trial,seed,steps,rows,cols,final_prey,final_predators,final_vegetation,prey_extinct,predator_extinct,time_to_prey_extinction,time_to_predator_extinction,mean_prey,mean_predators,mean_vegetation,migration_rate,drought_probability,disease_probability,fragmentation_rate,predation_rate,stability_score,recovery_time_after_drought,scenario
4,8039958,160,6,6,89.858529,25.852949,11957.072117,true,false,146,,424.299407,302.423769,11648.082471,0.010000,0.020000,0.015000,0.350000,0.00180000,0.452945,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
5,8049931,160,6,6,100.368367,25.885081,12755.510151,false,false,,,423.170719,301.875262,12530.945546,0.010000,0.020000,0.015000,0.350000,0.00180000,0.455910,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
6,8059904,160,6,6,99.535816,25.636364,11123.572702,true,false,160,,415.743883,300.534518,13456.875191,0.010000,0.020000,0.015000,0.350000,0.00180000,0.454546,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
7,8069877,160,6,6,110.889785,25.703325,13278.749858,false,false,,,416.865417,300.735765,12940.336382,0.010000,0.020000,0.015000,0.350000,0.00180000,0.454791,,migration_0.010_drought_0.020_fragmentation_0.350_predation_0.00180
0,9000069,160,6,6,58.416593,24.950751,7023.131524,true,false,113,,384.757194,299.504895,9608.695365,0.010000,0.030000,0.015000,0.350000,0.00180000,0.429558,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
1,9010042,160,6,6,48.806470,24.767627,5970.676201,true,false,104,,377.117747,299.262999,8307.221711,0.010000,0.030000,0.015000,0.350000,0.00180000,0.423080,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
2,9020015,160,6,6,70.018769,25.234390,7602.350144,true,false,123,,398.535950,300.359875,10120.891855,0.010000,0.030000,0.015000,0.350000,0.00180000,0.439668,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
3,9029988,160,6,6,68.915679,25.257911,8518.267896,true,false,120,,395.340095,300.277416,10145.939415,0.010000,0.030000,0.015000,0.350000,0.00180000,0.436680,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
4,9039961,160,6,6,59.032685,25.076908,7498.178261,true,false,116,,391.970362,300.129657,9684.908660,0.010000,0.030000,0.015000,0.350000,0.00180000,0.433135,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
5,9049934,160,6,6,60.242404,25.210266,6561.509455,true,false,116,,396.963518,300.347716,9596.506221,0.010000,0.030000,0.015000,0.350000,0.00180000,0.438090,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
6,9059907,160,6,6,50.959702,24.745363,5848.876235,true,false,108,,374.988465,298.951671,8515.975567,0.010000,0.030000,0.015000,0.350000,0.00180000,0.421969,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
7,9069880,160,6,6,57.640818,25.049279,6594.483072,true,false,114,,389.745439,300.314165,9359.225456,0.010000,0.030000,0.015000,0.350000,0.00180000,0.429554,,migration_0.010_drought_0.030_fragmentation_0.350_predation_0.00180
0,10000072,160,6,6,254.872723,27.591977,23597.850421,false,false,,,490.044615,304.210574,19957.355219,0.030000,0.000000,0.015000,0.350000,0.00180000,0.505538,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
1,10010045,160,6,6,224.856828,27.382686,23912.142740,false,false,,,471.113603,303.640888,19903.739549,0.030000,0.000000,0.015000,0.350000,0.00180000,0.494924,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
2,10020018,160,6,6,239.335753,27.612669,23537.754369,false,false,,,482.630527,303.490413,19755.121309,0.030000,0.000000,0.015000,0.350000,0.00180000,0.506287,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
3,10029991,160,6,6,223.396857,27.107754,23725.920746,false,false,,,470.970168,302.319693,19816.296612,0.030000,0.000000,0.015000,0.350000,0.00180000,0.498851,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
4,10039964,160,6,6,241.817816,27.277943,23515.478962,false,false,,,479.268144,302.681288,19625.101381,0.030000,0.000000,0.015000,0.350000,0.00180000,0.504051,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
5,10049937,160,6,6,223.501511,27.189101,24107.980034,false,false,,,463.991876,302.929790,19999.212129,0.030000,0.000000,0.015000,0.350000,0.00180000,0.492297,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
6,10059910,160,6,6,258.498806,27.648834,23974.598858,false,false,,,484.586964,303.754002,20078.839928,0.030000,0.000000,0.015000,0.350000,0.00180000,0.505895,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
7,10069883,160,6,6,228.153904,27.258701,23982.412957,false,false,,,471.199235,302.768144,20035.396378,0.030000,0.000000,0.015000,0.350000,0.00180000,0.500069,,migration_0.030_drought_0.000_fragmentation_0.350_predation_0.00180
0,11000075,160,6,6,110.375809,26.056141,15708.871913,false,false,,,419.794315,302.466262,15363.052276,0.030000,0.010000,0.015000,0.350000,0.00180000,0.453687,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
1,11010048,160,6,6,157.174519,26.581249,17494.549344,false,false,,,439.333343,301.866749,16038.331187,0.030000,0.010000,0.015000,0.350000,0.00180000,0.475969,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
2,11020021,160,6,6,122.194448,25.997994,15791.796853,false,false,,,427.934792,301.422168,14853.665840,0.030000,0.010000,0.015000,0.350000,0.00180000,0.462057,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
3,11029994,160,6,6,111.834950,25.847683,16991.803625,false,false,,,417.753220,301.421591,14908.801816,0.030000,0.010000,0.015000,0.350000,0.00180000,0.455048,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
4,11039967,160,6,6,130.954117,26.487056,17770.369785,false,false,,,441.569311,303.093856,15537.313161,0.030000,0.010000,0.015000,0.350000,0.00180000,0.469836,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
5,11049940,160,6,6,128.109054,26.124011,16005.324219,false,false,,,428.968523,301.983962,14751.187234,0.030000,0.010000,0.015000,0.350000,0.00180000,0.462266,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
6,11059913,160,6,6,116.272832,25.870321,17739.664866,false,false,,,417.880037,301.375291,14643.257404,0.030000,0.010000,0.015000,0.350000,0.00180000,0.455421,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
7,11069886,160,6,6,116.836210,25.803627,14423.338204,false,false,,,415.496445,301.303412,15175.309164,0.030000,0.010000,0.015000,0.350000,0.00180000,0.452488,,migration_0.030_drought_0.010_fragmentation_0.350_predation_0.00180
0,12000078,160,6,6,99.146825,25.566228,12817.582145,true,false,159,,406.906104,300.309926,13257.231146,0.030000,0.015000,0.015000,0.350000,0.00180000,0.449355,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
1,12010051,160,6,6,108.466560,25.615495,13755.706643,false,false,,,410.017899,300.111917,13296.584125,0.030000,0.015000,0.015000,0.350000,0.00180000,0.453571,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
2,12020024,160,6,6,111.253042,25.919517,13443.764896,false,false,,,417.425146,301.112518,14707.751347,0.030000,0.015000,0.015000,0.350000,0.00180000,0.457011,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
3,12029997,160,6,6,102.748489,25.848721,12639.695250,false,false,,,416.263059,301.331610,13283.044957,0.030000,0.015000,0.015000,0.350000,0.00180000,0.454850,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
4,12039970,160,6,6,118.666736,25.946189,14329.482718,false,false,,,422.040535,301.180246,13885.783577,0.030000,0.015000,0.015000,0.350000,0.00180000,0.459771,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
5,12049943,160,6,6,107.053700,25.729704,14226.054712,false,false,,,414.097479,301.212859,13398.044465,0.030000,0.015000,0.015000,0.350000,0.00180000,0.451182,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
6,12059916,160,6,6,111.437034,25.810056,13215.998058,false,false,,,419.488880,300.945077,13362.403279,0.030000,0.015000,0.015000,0.350000,0.00180000,0.458116,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
7,12069889,160,6,6,101.330957,25.862196,13587.985582,false,false,,,418.600745,301.763525,13777.620059,0.030000,0.015000,0.015000,0.350000,0.00180000,0.453475,,migration_0.030_drought_0.015_fragmentation_0.350_predation_0.00180
0,13000081,160,6,6,96.765874,26.024241,11745.661776,true,false,157,,422.750563,302.161837,13264.480778,0.030000,0.020000,0.015000,0.350000,0.00180000,0.456517,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
1,13010054,160,6,6,86.944573,25.859027,12230.063639,true,false,138,,416.965058,302.461701,11828.266517,0.030000,0.020000,0.015000,0.350000,0.00180000,0.449237,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
2,13020027,160,6,6,71.747881,25.459194,10014.710449,true,false,129,,401.633672,300.931148,11398.256276,0.030000,0.020000,0.015000,0.350000,0.00180000,0.442011,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
3,13030000,160,6,6,87.089259,25.761594,12319.255561,true,false,138,,409.614422,301.694854,12690.755990,0.030000,0.020000,0.015000,0.350000,0.00180000,0.447385,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
4,13039973,160,6,6,70.724199,25.305975,12050.314788,true,false,116,,386.582344,300.605642,11438.204740,0.030000,0.020000,0.015000,0.350000,0.00180000,0.431059,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
5,13049946,160,6,6,105.151201,25.713792,12717.530983,false,false,,,411.352876,301.238879,13467.393900,0.030000,0.020000,0.015000,0.350000,0.00180000,0.449467,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
6,13059919,160,6,6,74.536748,25.178360,11157.833686,true,false,125,,387.225334,299.754030,11256.670749,0.030000,0.020000,0.015000,0.350000,0.00180000,0.434326,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
7,13069892,160,6,6,70.418784,25.237036,11384.375028,true,false,125,,387.622638,300.019678,12105.585591,0.030000,0.020000,0.015000,0.350000,0.00180000,0.433727,,migration_0.030_drought_0.020_fragmentation_0.350_predation_0.00180
0,14000084,160,6,6,54.608854,25.220695,6003.999054,true,false,115,,391.526551,300.799998,8873.106453,0.030000,0.030000,0.015000,0.350000,0.00180000,0.431660,,migration_0.030_drought_0.030_fragmentation_0.350_predation_0.00180
1,14010057,160,6,6,52.873559,24.975430,6610.224801,true,false,109,,381.593720,299.837311,8852.502857,0.030000,0.030000,0.015000,0.350000,0.00180000,0.426037,,migration_0.030_drought_0.030_fragmentation_0.350_predation_0.00180
